Date,Time,open,high,low,close,volume
2020-05-13,07:34:20Z,2850.0,2850.25,2849.75,2850.25,-1
2020-05-13,07:34:25Z,2850.0,2850.5,2849.75,2850.25,-1
2020-05-13,07:34:30Z,2850.0,2850.5,2850.0,2850.25,-1
2020-05-13,07:34:35Z,2850.5,2850.75,2850.0,2850.75,-1
2020-05-13,07:34:40Z,2850.5,2851.0,2850.25,2850.75,-1
2020-05-13,07:34:45Z,2850.75,2851.25,2850.5,2851.0,-1
2020-05-13,07:34:50Z,2850.75,2851.5,2850.25,2851.0,-1
2020-05-13,07:34:55Z,2850.5,2851.0,2850.25,2850.75,-1
2020-05-13,07:35:00Z,2850.0,2850.75,2849.75,2850.25,-1
2020-05-13,07:35:05Z,2849.5,2850.0,2848.75,2849.75,-1
2020-05-13,07:35:10Z,2849.25,2849.5,2848.75,2849.5,-1
2020-05-13,07:35:15Z,2849.5,2850.5,2848.75,2849.75,-1
2020-05-13,07:35:20Z,2849.5,2850.25,2849.25,2849.75,-1
2020-05-13,07:35:25Z,2849.75,2850.25,2849.25,2850.25,-1
2020-05-13,07:35:30Z,2850.0,2850.5,2849.75,2850.25,-1
2020-05-13,07:35:35Z,2849.75,2850.5,2849.75,2850.0,-1
2020-05-13,07:35:40Z,2849.25,2850.0,2848.75,2849.5,-1
2020-05-13,07:35:45Z,2848.75,2849.25,2848.5,2849.0,-1
2020-05-13,07:35:50Z,2848.5,2848.75,2848.25,2848.75,-1
2020-05-13,07:35:55Z,2848.5,2849.0,2848.25,2848.75,-1
2020-05-13,07:36:00Z,2848.5,2849.0,2848.25,2848.75,-1
2020-05-13,07:36:05Z,2849.0,2849.25,2848.5,2849.25,-1
2020-05-13,07:36:10Z,2849.0,2849.25,2848.75,2849.25,-1
2020-05-13,07:36:15Z,2849.0,2849.5,2848.5,2849.25,-1
2020-05-13,07:36:20Z,2849.25,2849.75,2848.75,2849.5,-1
2020-05-13,07:36:25Z,2849.25,2849.75,2849.0,2849.5,-1
2020-05-13,07:36:30Z,2849.25,2849.75,2849.0,2849.75,-1
2020-05-13,07:36:35Z,2849.25,2849.75,2849.0,2849.5,-1
2020-05-13,07:36:40Z,2849.25,2849.75,2849.0,2849.75,-1
2020-05-13,07:36:45Z,2849.5,2850.0,2849.25,2849.75,-1
2020-05-13,07:36:50Z,2849.75,2850.5,2849.5,2850.0,-1
2020-05-13,07:36:55Z,2849.75,2850.5,2849.5,2850.0,-1
2020-05-13,07:37:00Z,2849.5,2850.0,2849.5,2849.75,-1
2020-05-13,07:37:05Z,2849.5,2850.0,2849.25,2849.75,-1
2020-05-13,07:37:10Z,2849.5,2850.25,2849.25,2849.75,-1
2020-05-13,07:37:15Z,2849.25,2849.75,2849.25,2849.5,-1
2020-05-13,07:37:20Z,2849.5,2850.0,2849.5,2849.75,-1
2020-05-13,07:37:25Z,2849.5,2850.0,2849.25,2850.0,-1
2020-05-13,07:37:30Z,2849.75,2850.25,2849.5,2850.0,-1
2020-05-13,07:37:35Z,2849.25,2850.0,2849.25,2849.5,-1
2020-05-13,07:37:40Z,2849.25,2849.75,2849.25,2849.5,-1
2020-05-13,07:37:45Z,2849.25,2849.75,2849.25,2849.5,-1
2020-05-13,07:37:50Z,2849.0,2849.5,2848.75,2849.25,-1
2020-05-13,07:37:55Z,2848.25,2849.25,2847.25,2848.5,-1
2020-05-13,07:38:00Z,2846.5,2847.75,2846.25,2846.75,-1
2020-05-13,07:38:05Z,2846.75,2847.25,2846.25,2847.0,-1
2020-05-13,07:38:10Z,2846.75,2847.5,2846.5,2847.0,-1
2020-05-13,07:38:15Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:38:20Z,2846.75,2847.25,2846.5,2847.0,-1
2020-05-13,07:38:25Z,2847.0,2847.5,2846.75,2847.25,-1
2020-05-13,07:38:30Z,2847.0,2847.5,2846.75,2847.25,-1
